Prime name	Color of berry skin	Country or region of origin of the variety	variety_id	Species	VVS2_1	VVS2_2	VVMD5_1	VVMD5_2	VVMD7_1	VVMD7_2	VVMD25_1	VVMD25_2	VVMD27_1	VVMD27_2	VVMD28_1	VVMD28_2	VVMD32_1	VVMD32_2	VRZAG62_1	VRZAG62_2	VRZAG79_1	VRZAG79_2
RIZAMAT	ROUGE	UZBEKISTAN	10114	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	151	155	230	242	233	253	245	249	180	195	234	244	256	258	188	196	247	257
RIZENS	BLANC	FRANCE	10115	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	228	238	249	257	249	255	176	180	244	244	240	250				
RKATSITELI	BLANC	GEORGIA	10116	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	141	236	242	247	253	239	267	180	182	236	244	262	272	190	200	249	259
RKATSITELI VARDISPERI	ROSE	GEORGIA	10118	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	141	236	242	247	253	239	267	180	182	236	244	262	272	190	200	249	259
RKO SHAVI	NOIR	GEORGIA	10121	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	141	143	228	242	239	247	257	257	180	186	258	258	248	272				
ROBERTA	BLANC	BRAZIL	10126	VITIS INTERSPECIFIC CROSSING	135	135	236	238	235	249	255	255	180	180			240	272	186	204	255	255
ROBIN NOIR	NOIR	FRANCE	10128	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	139	228	234	249	261	239	241	180	190	218	258	240	262	194	200	255	259
BARSAGLINA	NOIR	ITALY	1013	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	155	248	248	239	257	241	241	182	195	234	236	256	262	194	196	249	259
RODI	BLANC	ITALY	10139	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	149	151	234	236	239	249	249	249	182	195	244	244	250	264	186	188	247	255
BARTHAINER WEISS	BLANC	AUSTRIA	1014	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	139	228	242	247	247	239	239	190	195	236	268	256	262	194	204	251	251
RODITIS	ROSE	GREECE	10141	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	145	228	230	247	249	239	241	186	195	236	248	252	272	194	202	239	251
RODITIS KOKKINOS	ROSE	GREECE	10142	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	143	240	248	239	249			182	195					188	194	251	251
ROI DES NOIRS	NOIR	FRANCE	10164	VITIS INTERSPECIFIC CROSSING	125	133	228	252	243	255	237	241	182	190	252	260	240	250	181	188	243	259
ROI DES PRECOCES	NOIR	FRANCE	10165	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	137	228	240	243	247	239	239	182	186	228	236	256	272	188	204	239	259
ROKAFARKU	BLANC	HUNGARY	10167	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	228	234	249	249	239	241	180	182	246	248	248	272	200	204	237	243
ROLLO	BLANC	ITALY	10171	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	228	234	239	249	241	241	184	195	236	258	250	252	194	200	245	251
ROMANIE			10177	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	145	228	230	239	247	241	255	195	195	248	260	264	272	188	204	249	257
ROME	NOIR	SPAIN	10181	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	137	145	240	242	239	239	241	255	182	195	236	258	256	272	188	196	247	257
ROMEIKO	NOIR	GREECE	10182	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	145	242	248	239	247	239	245	180	188	258	258	250	272	188	196	251	251
ROMMEL	BLANC	UNITED STATES OF AMERICA	10184	VITIS INTERSPECIFIC CROSSING	123	133	238	240	235	249	241	241	186	188	238	244	272	272	186	202	249	251
ROMORANTIN	BLANC	FRANCE	10185	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	129	133	236	240	243	249	239	249	180	190	228	236	250	272	188	204	237	245
ROMULUS	BLANC	UNITED STATES OF AMERICA	10186	VITIS INTERSPECIFIC CROSSING	125	151	236	240	239	247	249	249	182	186	230	244	240	250	188	204	247	247
RONALDO	BLANC	UNITED STATES OF AMERICA	10187	VITIS INTERSPECIFIC CROSSING	129	143	228	238	237	239	237	239	180	186	236	246	252	252	174	190	239	251
RONDINELLA	NOIR	ITALY	10189	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	151	228	234	239	239	241	255	180	190	246	258	272	272	188	194	247	251
BASCAN	NOIR	CROATIA	1019	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	145	153	228	234	247	249	241	241	180	182	248	278	252	272	190	202	249	259
RONELLE	NOIR	SOUTH AFRICA	10190	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	151	238	242	249	249	249	255	180	186	248	268	252	272				
CHAOUCH BLANC	BLANC	TURKEY	10196	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	151	230	240	247	249	249	255	180	184	258	258	252	272	188	204	247	249
AGIORGITIKO	NOIR	GREECE	102	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	145	234	242	243	249	239	241	176	186	258	258	256	272	200	202	247	247
CIOTAT ROSE	ROSE	JAPAN	10200	VITIS INTERSPECIFIC CROSSING	127	133	228	230	245	247	237	241	186	190	218	246	240	240	194	204	251	259
ROSE QUEEN	ROSE	JAPAN	10205	VITIS INTERSPECIFIC CROSSING	125	151	234	238	249	257	255	255	180	186	226	244	250	272	194	202	247	247
ROSENMUSKAT	BLANC	FRANCE	10208	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	151	230	238	239	247	239	249	180	190	218	254	252	272				
ROSETTE	NOIR	FRANCE	10209	VITIS INTERSPECIFIC CROSSING	133	147	238	248	247	251	241	243	182	187	248	258	262	262	194	194	243	261
BASERRI	BLANC	FRANCE	1021	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	139	139	228	240	239	239	239	239	180	190	234	246	240	272	188	194	237	251
ROSSIGNOLA	NOIR	ITALY	10219	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	151	155	236	238	239	247	257	263	186	190	246	258	256	272	194	204	251	251
BASICATA	BLANC	ROMANIA	1022	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	228	248	247	249	239	255	186	195	248	260	252	272	194	204	249	249
ROSSONE	ROUGE	ITALY	10225	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	230	242	247	263	239	255	184	186	236	258	252	272	202	204	239	245
BASILE LOGOTHETIS	BLANC	ITALY	1023	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	145	149	230	236	249	253	239	249	195	195	244	244	250	264	186	188		
ROTBERGER	NOIR	GERMANY	10230	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	151	236	240	247	257	249	255	182	190	228	244	272	272	194	194	245	259
ROTGIPFLER	BLANC	AUSTRIA	10231	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	151	234	248	239	257	241	249	184	190	236	268	264	272	188	196	251	251
ROU DING XIANG	BLANC	CHINA	10232	VITIS INTERSPECIFIC CROSSING	125	133	230	230	235	249	249	249	180	186	226	244	250	264	186	202	247	255
RUBIN	NOIR	BULGARIA	10233	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	139			255	257	239	241	180	195			252	272	194	204	251	251
ROUBLOT	BLANC	FRANCE	10234	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	137	230	242	239	239	239	239	182	186	218	246	250	272	194	196	239	243
ROUCANEUF	BLANC	FRANCE	10235	VITIS INTERSPECIFIC CROSSING	133	145	228	234	237	239	241	241	190	195	236	238	256	272	180	194	251	261
ROUGE DU PAYS	NOIR	SWITZERLAND	10240	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	139	228	230	247	263	239	241	186	190	244	268	250	262	194	194	239	247
ROUGEON	NOIR	FRANCE	10245	VITIS INTERSPECIFIC CROSSING	133	147	228	254	239	251	243	249	202	208	234	252	272	272	188	194	245	255
ROUSAITIS	ROUGE	GREECE	10257	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	143	228	234	239	239	239	255	182	190	244	246	250	272	188	188	243	251
ROUSSANNE	BLANC	FRANCE	10258	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	228	234	239	253	241	249	186	190	258	258	252	256	196	200	239	251
ROUSSANNE DU VAR	ROSE	FRANCE	10259	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	143	230	242	239	249	255	255	182	186	246	258	250	250	186	204	243	251
BASTARDO BRANCO	BLANC	PORTUGAL	1026	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	151	228	240	257	257			176	190					188	188	247	251
BASTARDO MAGARACHSKII	NOIR	UKRAINE	1028	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	145	151	240	242	239	257	241	249	190	193	244	248	256	256	188	200	245	261
ROYALTY	NOIR	UNITED STATES OF AMERICA	10288	VITIS INTERSPECIFIC CROSSING	145	151	236	240	249	257	241	249	176	195	228	248	250	256	188	198	247	257
BASTARDO ROXO	ROUGE	PORTUGAL	1029	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	151	240	240	239	257	249	255	176	190	234	248	240	256	188	188	245	247
ROAL	ROUGE	PORTUGAL	10298	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	137	143	238	240	249	253	241	255	182	184	244	244	256	256	188	204	247	247
RUBI	NOIR	FRANCE	10299	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	151	230	242	239	249	239	249	180	186	228	236	240	272	194	204	237	239
RUBILANDE	ROSE	FRANCE	10301	VITIS INTERSPECIFIC CROSSING	133	145	228	248	239	255	241	241	182	187	236	260	240	250	180	194	243	255
RUBINTOS	NOIR	HUNGARY	10307	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	143	228	242	239	247	255	255	182	190	228	246	250	272	188	194	251	251
RUBIRED	NOIR	UNITED STATES OF AMERICA	10308	VITIS INTERSPECIFIC CROSSING	133	145	236	236	249	263	241	241	182	182	254	260	272	272	186	198	243	247
RUBIS	NOIR	FRANCE	10310	VITIS INTERSPECIFIC CROSSING	125	133	236	252	239	239	241	249	186	195	244	246	272	272	188	194	257	259
RUBY CABERNET	NOIR	UNITED STATES OF AMERICA	10313	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	151	228	234	239	239	249	255	176	182	234	258	240	252	188	194	247	259
RUBY SEEDLESS	ROUGE	UNITED STATES OF AMERICA	10314	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	151	230	238	239	249	239	249	195	195	258	268	264	272	188	204	257	259
RUBY	ROUGE	UNITED STATES OF AMERICA	10315	VITIS INTERSPECIFIC CROSSING	125	143	230	240	247	249	255	255	186	190	226	230	240	240	186	204	259	265
RUBY STAR	ROUGE	SOUTH AFRICA	10316	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	135	228	234	249	249	255	255	180	186	236	268	272	272				
RUCHE	NOIR	ITALY	10318	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	151	238	238	233	247	249	255	180	190	234	246	264	272	186	196	245	255
RUDELIN 3	BLANC	FRANCE	10319	VITIS INTERSPECIFIC CROSSING	133	135	234	246	243	251	241	241	195	195	234	260	250	272	188	194	245	251
RUDELIN 6-55	BLANC	FRANCE	10320	VITIS INTERSPECIFIC CROSSING	133	133	230	240	239	255	237	241	182	186	228	238	256	272	180	194	255	259
RUDELIN 17- 5	NOIR	FRANCE	10324	VITIS INTERSPECIFIC CROSSING	133	143	228	228	243	251	241	255	190	202	230	236	250	272	188	194	245	261
RUDELIN 20	NOIR	FRANCE	10325	VITIS INTERSPECIFIC CROSSING	139	145			237	251	241	243	182	188	238	244	250	256	188	194	243	249
RUDELIN 60	NOIR	FRANCE	10326	VITIS INTERSPECIFIC CROSSING	125	129	246	246	239	249	249	249	186	202	252	260	250	250	188	202	245	259
RUDEZUSA	NOIR	DALMATIEN	10327	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	228	230	239	253	239	255	180	182	228	234	250	252	188	200	251	259
BATH	NOIR	UNITED STATES OF AMERICA	1033	VITIS INTERSPECIFIC CROSSING	125	133	238	238	235	249	241	241	186	190	226	226	272	272	186	202	247	259
RUFETE	NOIR	PORTUGAL	10331	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	157	228	238	239	257	239	239	182	190	248	258	256	272	188	194	245	247
BATIKI	BLANC	GREECE	1034	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	145							182	190					202	204	243	259
RUGGERI 55		ITALY	10345	VITIS INTERSPECIFIC CROSSING	143	143	228	228	231	239	251	255	186	210	258	258	252	268	194	212	243	249
RUGGERI 140		ITALY	10351	VITIS INTERSPECIFIC CROSSING	137	143	248	270	231	257	237	263	190	206	234	242	252	252	196	214	243	259
RUGGERI 225		ITALY	10362	VITIS INTERSPECIFIC CROSSING	145	149	228	268	233	265			192	212	216	236			200	214	251	259
RUGGERI 240	NOIR	ITALY	10363	VITIS INTERSPECIFIC CROSSING	143	149	228	266	231	245	239	247	192	220	236	252			190	214	251	259
RUGGERI 300	NOIR	ITALY	10368	VITIS INTERSPECIFIC CROSSING	141	149	228	268	233	251	237	247	204	212	244	252			192	214	251	259
BATOCA	BLANC	PORTUGAL	1037	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	151	228	228	247	251	255	263	184	186	248	258	252	272	186	204	247	251
BATOMURA	ROSE	GEORGIA	1038	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	137	147	228	234	239	239	239	249	184	184	234	236	258	262				
RULING	BLANC	GERMANY	10381	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	137	143	228	240	243	257	239	255	186	190	218	228	272	272	188	194	239	245
BRUNAC	BLANC	DALMATIEN	10383	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	141	153	230	234	239	239	241	249	180	186	234	258	256	256	196	202	237	247
ROUMI NOIR	NOIR	EGYPT	10385	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	143	238	240	247	247	249	255	186	186	234	244	256	272				
RUPESTRIS DU LOT		FRANCE	10389	VITIS RUPESTRIS SCHEELE	137	137	238	270	257	261	237	237	206	208	220	242	235	237	196	196	259	263
RUPESTRIS DU LOT (4N)		FRANCE	10390	VITIS RUPESTRIS SCHEELE	137	137	238	270	257	261	237	237	206	208	220	242	235	237	196	196	259	263
RUPESTRIS GEANT	NOIR	FRANCE	10397	VITIS INTERSPECIFIC CROSSING	133	145	254	268	251	261	237	241	206	208	220	236			190	198	253	257
RUPESTRIS MARTIN		FRANCE	10398	VITIS RUPESTRIS SCHEELE	123	133	248	254	259	261	237	237	186	187	220	246			180	206	255	255
RUPESTRIS METALLIQUE		FRANCE	10399	VITIS INTERSPECIFIC CROSSING	139	139	254	254	251	261	237	243	186	206	216	246	237	240	196	202	257	261
RUSENSKO EDRO	BLANC	BULGARIA	10409	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	149	234	240	243	249	249	255	180	195	234	268	252	272	186	204	255	255
BATTTRAUBE	NOIR	AUSTRIA	1041	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	143	228	230	249	249	255	255	180	186	248	260	252	272	200	202	251	259
HRUSHAKI	BLANC	ARMENIA	10412	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	151	151	236	240	239	247	249	249	180	182	218	236	250	272	188	188	247	259
RUZA BIJELA	BLANC	CROATIA	10419	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	240	243	239	249	249	249	182	182	234	246	264	272	188	204	243	259
BATUTA NEAGRA	NOIR	MOLDOVA	1042	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	234	248	239	249	239	249	186	195	234	236	252	252	188	204	249	251
RUZBARI	ROSE	UZBEKISTAN	10422	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	147	228	236	243	243	245	255	186	195	236	258	250	252	188	196	249	251
RUZEVINA	BLANC	DALMATIEN	10423	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	145	230	230	239	249	239	241	180	195	236	248	240	272	190	196	237	251
RUZICA BIELA	BLANC	MONTENEGRO	10425	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	234	248	239	249	239	263	182	186	244	248	250	256	196	202	251	259
R.W. MUNSON	NOIR	UNITED STATES OF AMERICA	10427	VITIS INTERSPECIFIC CROSSING	125	143	218	230	239	241	249	249	186	196	230	246	272	272	182	202	243	247
SAN LUNARDO	BLANC	ITALY	10429	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	155	230	234	247	249	241	255	180	186	234	236	258	272	192	200	243	255
SABATE	NOIR	SPAIN	10433	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	230	236	239	243	241	241	186	195	244	258	252	272	188	196	237	257
SACY	BLANC	FRANCE	10450	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	137	230	242	239	249	239	239	180	190	218	228	240	272	194	204	237	245
